Run,Total Energy
1,224.63140967192356
2,224.63140967192356
3,224.63140967192356
4,224.63140967192356
5,224.63140967192356
6,224.63140967192356
7,224.63140967192356
8,224.63140967192356
9,224.63140967192356
10,224.63140967192356
11,224.63140967192356
12,224.63140967192356
13,224.63140967192356
14,224.63140967192356
15,224.63140967192356
16,224.63140967192356
17,224.63140967192356
18,224.63140967192356
19,224.63140967192356
20,224.63140967192356
21,224.63140967192356
22,224.63140967192356
23,224.63140967192356
24,224.63140967192356
25,224.63140967192356
26,224.63140967192356
27,224.63140967192356
28,224.63140967192356
29,224.63140967192356
30,224.63140967192356
31,224.63140967192356
32,224.63140967192356
33,224.63140967192356
34,224.63140967192356
35,224.63140967192356
36,224.63140967192356
37,224.63140967192356
38,224.63140967192356
39,224.63140967192356
40,224.63140967192356
41,224.63140967192356
42,224.63140967192356
43,224.63140967192356
44,224.63140967192356
45,224.63140967192356
46,224.63140967192356
47,224.63140967192356
48,224.63140967192356
49,224.63140967192356
50,224.63140967192356
51,224.63140967192356
52,224.63140967192356
53,224.63140967192356
54,224.63140967192356
55,224.63140967192356
56,224.63140967192356
57,224.63140967192356
58,224.63140967192356
59,224.63140967192356
60,224.63140967192356
61,224.63140967192356
62,224.63140967192356
63,224.63140967192356
64,224.63140967192356
65,224.63140967192356
66,224.63140967192356
67,224.63140967192356
68,224.63140967192356
69,224.63140967192356
70,224.63140967192356
71,224.63140967192356
72,224.63140967192356
73,224.63140967192356
74,224.63140967192356
75,224.63140967192356
76,224.63140967192356
77,224.63140967192356
78,224.63140967192356
79,224.63140967192356
80,224.63140967192356
81,224.63140967192356
82,224.63140967192356
83,224.63140967192356
84,224.63140967192356
85,224.63140967192356
86,224.63140967192356
87,224.63140967192356
88,224.63140967192356
89,224.63140967192356
90,224.63140967192356
91,224.63140967192356
92,224.63140967192356
93,224.63140967192356
94,224.63140967192356
95,224.63140967192356
96,224.63140967192356
97,224.63140967192356
98,224.63140967192356
99,224.63140967192356
100,224.63140967192356
