alpha1,beta,target_objective,total_energy_demand,total_smooth
0.0,1.0,0,57.69605551541852,10.486191596958987
0.0,1.0,10,57.58605551541852,9.309103825215104
0.0,1.0,20,57.47605551541852,8.479375299474686
0.0,1.0,30,57.26938884875185,7.373367034174544
0.0,1.0,40,56.98938884875183,6.499942872212195
0.0,1.0,50,56.44938884875184,5.607984674023764
0.0,1.0,60,49.341146720873546,4.397867521021932
0.0,1.0,70,41.81620485239715,5.030395771189016
0.0,1.0,80,34.67098610397912,4.005395139741583
0.0,1.0,90,25.2773842540693,3.3765341910691027
0.0,1.0,100,26.34509072693423,6.883955451828479
0.1,0.9,0,78.31637741311016,44.10474569880348
0.1,0.9,10,72.96916468316722,40.921937016451174
0.1,0.9,20,71.74245403533722,39.172596832022506
0.1,0.9,30,64.4044963985529,36.54099930135662
0.1,0.9,40,63.60613644504171,35.890010972385106
0.1,0.9,50,61.979090380560116,6.988772829958841
0.1,0.9,60,54.522485984372516,5.901940227720555
0.1,0.9,70,44.42302686304042,5.249784110506298
0.1,0.9,80,35.66936226107681,4.260156429928189
0.1,0.9,90,27.915861382177212,10.709678348704447
0.1,0.9,100,26.34509072693423,6.1111419486591165
0.2,0.8,0,96.93116597885513,57.08622418990802
0.2,0.8,10,92.77479589281864,55.74485786641206
0.2,0.8,20,81.5292535611411,21.88848222043437
0.2,0.8,30,79.99419916338641,19.260837347027223
0.2,0.8,40,75.46264847837536,15.603065359472964
0.2,0.8,50,68.9010568135772,11.276197618594399
0.2,0.8,60,61.02274987135277,8.109668864128901
0.2,0.8,70,47.638244684285134,29.251457861922233
0.2,0.8,80,36.91307607487601,11.893249247943638
0.2,0.8,90,29.808741356511593,4.81284504045445
0.2,0.8,100,26.34509072693423,6.1111419486591165
0.30000000000000004,0.7,0,98.72020891139154,58.23814763469177
0.30000000000000004,0.7,10,99.06659745962665,61.51660223952197
0.30000000000000004,0.7,20,92.09823470026573,28.898781781138876
0.30000000000000004,0.7,30,84.43841238884427,22.45887623575359
0.30000000000000004,0.7,40,81.53295776009202,20.90058219387117
0.30000000000000004,0.7,50,74.09729769809832,16.91848565701167
0.30000000000000004,0.7,60,63.65533872502139,9.18271804565292
0.30000000000000004,0.7,70,46.71518552618063,17.705652479736848
0.30000000000000004,0.7,80,39.828865559735874,6.601750059103677
0.30000000000000004,0.7,90,32.893081019196835,5.958963332644062
0.30000000000000004,0.7,100,26.34509072693423,6.1111419486591165
0.4,0.6,0,99.57209631765558,42.88472366095488
0.4,0.6,10,99.69231180940236,59.41660740318274
0.4,0.6,20,98.69698665648599,58.49744798543061
0.4,0.6,30,89.39259607142743,29.743757382688948
0.4,0.6,40,86.19149013229959,43.78455078605203
0.4,0.6,50,76.9453242877731,17.04683170063944
0.4,0.6,60,57.54221408501788,24.56447085655196
0.4,0.6,70,50.778164372173464,9.157984976498826
0.4,0.6,80,41.83448784989734,8.322737304694234
0.4,0.6,90,33.775593991031826,6.888030480811203
0.4,0.6,100,26.388742167338147,5.883542850776021
0.5,0.5,0,103.93978815134234,71.46612998513524
0.5,0.5,10,97.0788772593265,53.258397786086014
0.5,0.5,20,96.2713708093041,38.68145541393925
0.5,0.5,30,95.54183056047216,55.16745799642361
0.5,0.5,40,85.44416287991774,26.471538060595172
0.5,0.5,50,67.5169042478301,26.849574815649788
0.5,0.5,60,58.006896068498534,16.20269202410449
0.5,0.5,70,55.05812415013874,11.672850228880765
0.5,0.5,80,44.293288965551604,8.701518624235048
0.5,0.5,90,33.86887013188576,7.026113195755408
0.5,0.5,100,26.388742167338147,5.883542850776021
0.6000000000000001,0.3999999999999999,0,104.95221315277976,81.43781010234076
0.6000000000000001,0.3999999999999999,10,100.52640477255689,66.11894235320851
0.6000000000000001,0.3999999999999999,20,95.70238676669544,60.89327980874477
0.6000000000000001,0.3999999999999999,30,90.84784851309766,35.894642533556095
0.6000000000000001,0.3999999999999999,40,75.81247720383796,38.40141657822187
0.6000000000000001,0.3999999999999999,50,68.97250691918069,20.53974594801735
0.6000000000000001,0.3999999999999999,60,59.87660816558852,16.770424519311
0.6000000000000001,0.3999999999999999,70,53.33231016668755,10.731380044445437
0.6000000000000001,0.3999999999999999,80,45.10172616817734,9.498903188072553
0.6000000000000001,0.3999999999999999,90,37.57217613274615,7.2178371965306845
0.6000000000000001,0.3999999999999999,100,26.388742167338147,5.883542850776021
0.7000000000000001,0.29999999999999993,0,102.49146130154409,77.83711854265059
0.7000000000000001,0.29999999999999993,10,99.11730703299995,65.55790206605602
0.7000000000000001,0.29999999999999993,20,91.84797073288668,42.58063692260776
0.7000000000000001,0.29999999999999993,30,82.82521865099,51.04262118189165
0.7000000000000001,0.29999999999999993,40,80.02743520574853,28.805008602215988
0.7000000000000001,0.29999999999999993,50,77.6310616604049,22.32793483427001
0.7000000000000001,0.29999999999999993,60,66.6284942926489,20.95654845816538
0.7000000000000001,0.29999999999999993,70,52.25137947408452,10.966660891309512
0.7000000000000001,0.29999999999999993,80,50.690097336736756,8.998878076816329
0.7000000000000001,0.29999999999999993,90,39.719931786394305,7.938733217638875
0.7000000000000001,0.29999999999999993,100,26.425544358076166,5.958560252170529
0.8,0.19999999999999996,0,103.47785829030568,80.45631846652857
0.8,0.19999999999999996,10,96.86009578523041,59.959080672895595
0.8,0.19999999999999996,20,87.64090201796535,53.3251343406226
0.8,0.19999999999999996,30,91.06181964535395,36.16849058329023
0.8,0.19999999999999996,40,77.17030878790005,30.197694027875784
0.8,0.19999999999999996,50,74.4227579721246,24.3540014948337
