alpha1,beta,target_objective,total_energy_demand,total_smooth
0.0,1.0,0,95.70533563366546,24.817737860839564
0.0,1.0,10,93.25358216207113,23.037782574458188
0.0,1.0,20,87.42497221036831,17.336861675746814
0.0,1.0,30,86.21497221036827,14.418469031340706
0.0,1.0,40,84.52329281231222,14.39873129731745
0.0,1.0,50,68.97438888125438,8.103868680623417
0.0,1.0,60,62.5459340210223,7.637681137891318
0.0,1.0,70,51.098929393837224,3.485951528367016
0.0,1.0,80,43.93544559862919,3.7977036400925077
0.0,1.0,90,34.171869211498354,3.401080295264718
0.0,1.0,100,53.90110647347837,24.14754858324255
0.1,0.9,0,180.16204394258665,136.7891759755837
0.1,0.9,10,116.11116548877406,37.61599819196064
0.1,0.9,20,114.38777428548897,34.171020532254374
0.1,0.9,30,99.76882405846968,22.450052233612407
0.1,0.9,40,98.24382058627253,19.15207568314911
0.1,0.9,50,70.88775693655877,7.6890047805896895
0.1,0.9,60,65.50100925195963,8.151428901001037
0.1,0.9,70,56.275797447936014,7.23342742628353
0.1,0.9,80,45.72048610759549,3.701223504604347
0.1,0.9,90,37.29533911791786,9.123454671807034
0.1,0.9,100,53.90110647347837,24.14754858324255
0.2,0.8,0,250.06661915302954,226.95782090575364
0.2,0.8,10,227.60901962274028,167.2172415386598
0.2,0.8,20,135.00862844597725,72.0272317418629
0.2,0.8,30,146.20408098900015,81.02130675669771
0.2,0.8,40,109.93931479566072,27.391072688251466
0.2,0.8,50,103.21906479746909,22.7675994785517
0.2,0.8,60,72.96461110186922,10.246311015564777
0.2,0.8,70,58.2441805494279,7.333926771705884
0.2,0.8,80,56.81937846466285,25.958204136379752
0.2,0.8,90,40.44217013524757,11.149264387081907
0.2,0.8,100,47.742524299352425,16.59178740098469
0.30000000000000004,0.7,0,250.06661915302954,226.95782090575364
0.30000000000000004,0.7,10,236.5927511013419,198.89733535642037
0.30000000000000004,0.7,20,209.2883413869055,150.2442569035675
0.30000000000000004,0.7,30,153.5677846900248,77.19464424826789
0.30000000000000004,0.7,40,143.0573518227855,68.38624592580483
0.30000000000000004,0.7,50,117.39295136754143,59.50904487085492
0.30000000000000004,0.7,60,88.6269525321736,15.815497782934454
0.30000000000000004,0.7,70,69.10810415626938,20.90030311002317
0.30000000000000004,0.7,80,58.58278124193838,20.508093469807857
0.30000000000000004,0.7,90,45.14234374510292,13.440947328082956
0.30000000000000004,0.7,100,47.742524299352425,16.59178740098469
0.4,0.6,0,253.0624184576257,234.6121768327381
0.4,0.6,10,250.15928859745392,244.35123275236873
0.4,0.6,20,237.95448373975353,215.21426377433562
0.4,0.6,30,210.51669208122436,161.37510381150173
0.4,0.6,40,163.5615485757994,85.05822247104211
0.4,0.6,50,148.03261455236657,76.36541726858657
0.4,0.6,60,106.06280553526285,50.83943816048174
0.4,0.6,70,83.98203007790899,35.612444518781
0.4,0.6,80,69.319899294229,28.34854439599875
0.4,0.6,90,48.285820595916675,8.023069377726586
0.4,0.6,100,47.742524299352425,16.59178740098469
0.5,0.5,0,265.1488934541899,281.20972507718443
0.5,0.5,10,249.03199276384933,246.18633316313006
0.5,0.5,20,237.9028876744281,219.70744195013722
0.5,0.5,30,219.3724869852931,181.627753262039
0.5,0.5,40,204.07149185119118,160.35627026611292
0.5,0.5,50,141.7992534414564,86.73112813320516
0.5,0.5,60,123.90684951160404,66.96223974230989
0.5,0.5,70,95.51419558355991,46.56771055666982
0.5,0.5,80,72.30502776552196,31.83619276389069
0.5,0.5,90,50.38920022521154,14.540634680519393
0.5,0.5,100,47.742524299352425,16.59178740098469
0.6000000000000001,0.3999999999999999,0,262.8645515561037,285.9516669105737
0.6000000000000001,0.3999999999999999,10,249.74105595783666,259.28062719805513
0.6000000000000001,0.3999999999999999,20,237.01823350767094,232.326475987061
0.6000000000000001,0.3999999999999999,30,229.0459108248199,210.1338642557728
0.6000000000000001,0.3999999999999999,40,203.56329856314116,177.2195234294474
0.6000000000000001,0.3999999999999999,50,190.3026851416523,135.88397957692672
0.6000000000000001,0.3999999999999999,60,137.72409256299045,78.07656231217315
0.6000000000000001,0.3999999999999999,70,116.39193840226106,65.72962021940776
0.6000000000000001,0.3999999999999999,80,84.68052428970819,41.64994593987866
0.6000000000000001,0.3999999999999999,90,63.03972799917169,33.55412234600838
0.6000000000000001,0.3999999999999999,100,47.742524299352425,16.59178740098469
0.7000000000000001,0.29999999999999993,0,264.70295317598016,286.2670481022691
0.7000000000000001,0.29999999999999993,10,254.76057262317724,261.8699819695309
0.7000000000000001,0.29999999999999993,20,236.67827748883423,244.22342671885812
0.7000000000000001,0.29999999999999993,30,231.8173798053202,231.58670750338194
0.7000000000000001,0.29999999999999993,40,221.14495295655584,195.4486627417484
0.7000000000000001,0.29999999999999993,50,196.3960233336505,161.06440682180312
0.7000000000000001,0.29999999999999993,60,166.2398717216101,116.15060681345429
0.7000000000000001,0.29999999999999993,70,124.9936388625685,72.40295627458246
0.7000000000000001,0.29999999999999993,80,96.87263886980165,50.76216138608398
0.7000000000000001,0.29999999999999993,90,77.56361225444604,35.85660874784396
0.7000000000000001,0.29999999999999993,100,47.742524299352425,16.59178740098469
0.8,0.19999999999999996,0,269.2654584988102,306.9363431039392
0.8,0.19999999999999996,10,258.4912486406637,292.4550643044845
0.8,0.19999999999999996,20,242.52449091321645,258.12256303741566
0.8,0.19999999999999996,30,228.54861499121526,227.79954976061953
0.8,0.19999999999999996,40,218.85823536433162,207.75590015930248
0.8,0.19999999999999996,50,208.8966338857541,174.3425861549698
0.8,0.19999999999999996,60,195.1676101397837,151.59341928550228
0.8,0.19999999999999996,70,160.18097727881326,107.92717173739806
0.8,0.19999999999999996,80,119.75509835480771,58.444950250147386
0.8,0.19999999999999996,90,87.32461641867141,42.08169883790021
0.8,0.19999999999999996,100,47.742524299352425,16.59178740098469
0.9,0.09999999999999998,0,272.2861585443828,320.61607631375546
0.9,0.09999999999999998,10,259.0582012331169,292.5412975075847
0.9,0.09999999999999998,20,246.23028327341837,259.90187321166013
0.9,0.09999999999999998,30,241.6520990154919,240.00910576311762
0.9,0.09999999999999998,40,224.09550915912962,217.01206132647692
0.9,0.09999999999999998,50,213.93471221755647,193.32054349348297
0.9,0.09999999999999998,60,200.4355191658084,173.98239810850825
0.9,0.09999999999999998,70,187.60132264186325,138.8313339373514
0.9,0.09999999999999998,80,145.09363061610068,91.8669446128274
0.9,0.09999999999999998,90,118.7170622439578,68.00066607287434
0.9,0.09999999999999998,100,47.742524299352425,16.59178740098469
1.0,0.0,0,257.07963030746293,309.63567197825796
1.0,0.0,10,249.97990586488305,275.56076684857
1.0,0.0,20,244.92590896815915,264.8402714960273
1.0,0.0,30,231.17175642537742,240.4329949600557
1.0,0.0,40,225.66983628832196,221.3176480362139
1.0,0.0,50,219.73925318827673,199.6177623381906
1.0,0.0,60,205.8060814326709,173.9267554069529
1.0,0.0,70,190.70354435370473,152.15785413698185
1.0,0.0,80,164.48217334220988,121.0780799731563
1.0,0.0,90,139.74155969165218,87.40323607714119
1.0,0.0,100,52.44437962206186,19.38449183556205
